Timestamp,Level,Asset,Event,Details,Equity
2026-01-04 15:10:03.319,INFO,SYSTEM,STARTUP,Bot starting with multi-asset support%!(EXTRA int=0),1000.00
2026-01-04 15:10:03.319,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 15:10:04.541,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 15:10:04.542,INFO,ETH,TRADER_START,Launching trader for eth-updown-15m-1767538800,1000.00
2026-01-04 15:10:04.542,INFO,SOL,TRADER_START,Launching trader for sol-updown-15m-1767538800,1000.00
2026-01-04 15:10:04.542,INFO,XRP,TRADER_START,Launching trader for xrp-updown-15m-1767538800,1000.00
2026-01-04 15:10:04.542,INFO,BTC,TRADER_START,Launching trader for btc-updown-15m-1767538800,1000.00
2026-01-04 15:10:04.542,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 15:10:05.054,INFO,XRP,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:10:05.054,INFO,XRP,TRADER_TIMEOUT,Trader deadline set to 5m55s (expires + 1m),1000.00
2026-01-04 15:10:05.055,INFO,XRP,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:10:05.055,INFO,XRP,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:10:05.079,INFO,ETH,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:10:05.079,INFO,ETH,TRADER_TIMEOUT,Trader deadline set to 5m55s (expires + 1m),1000.00
2026-01-04 15:10:05.081,INFO,ETH,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:10:05.081,INFO,ETH,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:10:05.107,INFO,BTC,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:10:05.107,INFO,BTC,TRADER_TIMEOUT,Trader deadline set to 5m55s (expires + 1m),1000.00
2026-01-04 15:10:05.107,INFO,SOL,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:10:05.107,INFO,BTC,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:10:05.107,INFO,SOL,TRADER_TIMEOUT,Trader deadline set to 5m55s (expires + 1m),1000.00
2026-01-04 15:10:05.107,INFO,BTC,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:10:05.108,INFO,SOL,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:10:05.108,INFO,SOL,STREAMING_START,WebSocket streaming started,1000.00
